Event,Domain
Hands-On Power BI for Data Visualization,Data Science
Webinar on Data Science Virtual Informational Session,Data Science
Webinar on Galvanize Remote Part-time Data Science Information Session,Data Science
Tensorflow Deep Learning - Data Science in Python from udemy with certification,Data Science
IBM Data Science Professional Certification from coursera,Data Science
World Data Science Hackathon  is coming soon,Data Science
HIRING A PART-TIME SUPPORTER FOR DATA ANALYST OR DATA SCIENTIST at PLATINUS TECHNOLOGIES PVT.LTD,Data Science
Veda Semantics is hiring for  Data Analyst / Data Scientist position,Data Science
Dream to be a Sr. Data Analyst? Axim Technologies is hiring now,Data Science
DataHack & DSAT,Data Science
Data Science - Intern - Only Final Year Student : Quikkloan.com - Digital loan marketplace,Data Science
IIT Roorkee launches online summer training program on Data Science,Data Science
 Data Science Fresher Intern:Softtronix IT Solution,Data Science
Data Science jobs at Siemens: Know the hiring process,Data Science
Data Analytics Internship:Think Analytics India Private Limited,Data Science
Job opening for Data Scientist,Data Science
Webinar On Data Science ,Data Science
Become a Data Analyst - 11-Month online course?,Data Science
Data Science Training Course - In Collaboration with IBM?,Data Science
"Gartner Data & Analytics Summit, (Grapevine, TX), 23-26 March, 2020",Data Science
AI and Big Data Expo,Data Science
International Conference on Big Data Analytics and Data Science,Data Science
Gartner Data and Analytics Summit,Data Science
Big Data Analysis and Data Mining. Virtual.,Data Science
Conference On Big Data and Data Mining .,Data Science
"Data Festival 2020. Munich, Germany",Data Science
"Big Data Expo North America. Santa Clara, CA, USA",Data Science
Online certifications for free!!!,Other
Oracle certification is here!!!,Other
Apply for the trending certifications of 2019,Other
Top IT certifications are in your way,Other
Get certified from top institutes.,Other
webinar on How to Get CISSP Certified: 2020 Edition,Other
Boost Your Team's Knowledge with ITIL 4 Certification,Other
SuryaKranti Solar Challenge India ,Other
Creative Writing Contest 2020 ,Other
BICSI ITS Technician Training,Other
IG PAN India Contest,Other
ContiQuest - Quest for Tech Thirst,Other
Techquiz is live now!!!,Other
participate in National skill test,Other
Creating Social Media content contest with exiting prizes,Other
Blog writing contest: Exciting New cash prize,Other
Compete in innovation challenge with great ideas,Other
Scholarship test for cs students,Other
showcase your cool projects in this project competetion,Other
Innovate in covid-19,Other
Hvac global innovation challenge ,Other
Nae disha dyankatta online competetion,Other
2020 international design competetion,Other
get your brilliant ideas in this innovation challenge,Other
Web Vulnerability Assessment and Penetration Testing (CVPS) Course In GHaziabad Noida Delhi ,Other
Free demo on SSRS course ,Other
BEST SAP COURSE IN COIMBATORE ,Other
Logic Development classes!join today,Other
2020 July to Dec semester - courses open for enrollment!,Other
Boost your skills by this course,Other
Trending courses of 2020.,Other
Upgrade your skills during this covid period,Other
5 Steps to Master Microsoft Excel: Workbooks,Other
Learn Creating a Windows Virtual Machine in Microsoft Azure in 10 days,Other
7 Citrix Secrets: How to Upskill Your Citrix Skills,Other
10 Reasons to learn on Microsoft Dynamics 365,Other
learn 7 Strategies for Achieving Customer Service Excellence,Other
 Get Started with Microsoft 365 and be an expert ,Other
Mastering Microsoft Teams - The Future of Teamwork,Other
Exploring the New Office 365,Other
 Master Agile Scrum and its Benefits by this course,Other
PowerPoint 2016: 10 Tips to Master Presentations,Other
master Office 365 Design Insights,Other
TechExpo 2020 ,Other
HOTWAX Industrial expo,Other
Kirloskar Industrial expo,Other
one day event on Critical Thinking: Developing Problem-Solving & Decision-Making Skills,Other
IT Pros: What's New in Windows Server 2019 exhibition,Other
live expo on Microsoft Word Essentials: Tips and Tricks for Better Productivity,Other
"Grand event on SharePoint 2019 ""Wow"" | First Look at new SharePoint 2019",Other
Software Development Training ,Development Process
Online conference of GIDS.Lead Dev: Refreshing Software Professional Development,Development Process
Learn How the Internet Works & the Web Development Process from udemy with certification,Development Process
The Software Development Process - The Complete Course along with certifcation,Development Process
"Hire For R&D - API - Process Development - Atchutapuram, Vizag at 2Coms Consulting Pvt Ltd.",Development Process
Amway India Enterprises Pvt Ltd is hiring Associate Manager - Process Development,Development Process
Software Development Engineer Intern(2020 graduates and 6Months,Development Process
