Event,Type
Faculty Training Program On Internet Of Things,Trainings
"One-Day National Seminar on ""Recent trends in Artificial Intelligence"" ",Webinars
The Department of Computer Science is organizing Hackathon 1.0 on September 30 th - October 1 st 2019,Hackathons
"Talk by Dr S.K. Saha, Professor, IIT Delhi On ""Robotics And Its Compietions Based On Education""",Talks
One-week Workshop on IoT,Workshops
Workshop on Fundamentals of Python Programming,Workshops
3DPRINTEXPO,Expos
TechnoXian EduTech Expo,Expos
TechExpo,Expos
IOT India Expo,Expos
DigiMarCon India - Digital Marketing Conference & Exhibition,Expos
Education and Training Resources & Technology Expo,Expos
International Engineering & Technology Fair (IETF),Expos
"Exhibition and Conference on Education, Technology and Infrastructure",Expos
Smart Mobility Expo,Expos
Event Tech Expo,Expos
Matlab Expo,Expos
Techfest,Fests
Pragyan Hackathon,Hackathons
AAPA Port Security Seminar & Expo,Expos
National Facilities Management & Technology Conference & Expo,Expos
IoT World Careers Fair,Expos
Technology & Engineering Career Fair,Expos
Ethical Hacking Training,Trainings
Blockchain Training ,Trainings
Goldman Sachs Internship India Application Form | Apply Online for Python Development,Internships
National Workshop On Nanotechnology & Embedded Systems ,Workshops
Coding Workshop,Workshops
National Workshop on Artificial Intelligence in Industry 4.0 (AI in Industry 4.0),Workshops
Hackmanthan - The Ethical Hacking Workshop (The Ethical Hacking & Cyber s Security Workshop),Workshops
Global Summit and Expo for Mobile Applications and Services for Seniors and Users of All Abilities,Expos
A Webinar On Spot Decision - Yocket,Webinars
Hiring | Java Developers | Bengaluru and Hyderabad ,Jobs
Job Alert: Cisco is hiring for C/C++ developers in India ,Jobs
"TCS to start onboarding 40,000 freshers from mid-July",Jobs
Top job roles and salaries for Artificial Intelligence engineers in India,Jobs
Top 4 firms now hiring for technical positions in India,Jobs
Hiring For- MNC- Hyderabad For Java-AWS Developer-Permanent Position,Jobs
Job Opening for Back End Developer (Node-Js) - Pune (Shivaji Nagar)!,Jobs
Job Alert : Front-End Engineer - React.js/Javascript,Jobs
"Opening for Openshift Developer with popular MNC, Pune!!!",Jobs
Mobile Application Developer: Jobs in Pune,Jobs
Hiring on Urgent Basis Web Developer,Jobs
Machine Learning Jobs in Pune,Jobs
Bizops Engineer Jobs in Pune,Jobs
Computer Operator Data Entry Operator job at Obelisk System pvt ltd in India...,Jobs
Urgent Opening for Web Developer || IT Company || Hinjewadi Pune,Jobs
Vacancy for Android Developer,Jobs
Job opening for Data Scientist,Jobs
IIT Bombay is hiring for part time web developer,Jobs
Graphic Designer Jobs in Pune,Jobs
Java Developer Jobs in Pune,Jobs
Amdocs Is Hiring Technology Specialist,Jobs
Job Acura - Graduate Jobs - Information Technology - Java,Jobs
Systems Analyst - IT Jobs in Pune,Jobs
wipro recruitment for freshers – Need WAS L3 support for WIPRO ltd,Jobs
Punjab National Bank Jobs In Pune - Apply Finance Officer Jobs In,Jobs
"WORKDAY FINANCE Jobs in Pune,Chennai,Noida",Jobs
Hiring Manager Finance and Accounts for a leading textile industry in Pune,Jobs
 Elevate Tech Festival 2020,Fests
 Katapult Future Fest,Fests
NIT Jamshedpur – Techno-Management Fest – 2019 – Ojass,Fests
RGUKT – Techno Management Cultural Fest – Abhiyanth – 2019,Fests
BITS Pilani – Technical Fest – APOGEE– 2019,Fests
Technex – IIT (BHU) – Techno-Management Fest – 2019,Fests
Essentia 2018 - IEEE TECHITHON (Technical Fest),Fests
SPECTRUM 2020!!!,Fests
Altis Festival is here with new events,Fests
Mood Indigo is the Largest College Festival in Asia,Fests
Kshitij - A four day college festival of Mumbai’s Mithibai College,Fests
“Premier Youth Festival” 2020,Fests
Innovision 2020 !!!,Fests
Impact : An IT TechFest 2021,Fests
Gandharva 2021!!!- A Cultural Festival with new Events,Fests
Webinar On Updates About Current COVID-19 Situation And UK Universities September 2020 Intake,Webinars
"Online Webinar On ""Gearing Up Your Innovation Contest""",Webinars
Inspirational And Leadership Webinar,Webinars
TiE Pune Session on- Njurturing The Future,Webinars
Webinar On importance Of IELTS Exam For Overseas Opportunities,Webinars
KPIT Sparkel Ideation Competition,Competitions
Webinar On Data Science,Webinars
MIC Innovation Contest,Competitions
IIC National Innovation Contest 2020,Competitions
"A Session Organised By Department Of CSE For ""Project Guidance From Selection To Implementation""",Webinars
KMITL Online Internship,Internships
Attend The Virtual Session On Aritficial Intelligence,Webinars
Live Demo Lecture  and Talk On Digital Marketing,Talks
Live talk On Python ,Talks
"Webinar On ""Human Values And Professional  Ethics""",Webinars
Full Stack Web Development Course,Courses
Attend IDP's New Zealand Virtual Education Fair ,Expos
Free Webinar On- How To Prepare For Coding Interviews?,Webinars
Online  training Matlab For Enginners Bootcamp,Trainings
Artificial Intelligence (AI) Internship | Internshala,Internships
artificial intelligence internship at TantraByte • China • India ,Internships
AI Internship | Artificial Intelligence Internship | By 10 Microsoft,Internships
"Artificial Intelligence Intern at Techforce.aiHyderabad, Telangana, India",Internships
Computer Vision Internship @ GingerMind.ai,Internships
Artificial Intelligence  internship @ Aganitha Cognitive Solutions,Internships
Artificial Intelligence (AI) Internship @ Anukoolan Solutions,Internships
"Intern - Blockchain Platform R&D Development Internship Pink Sarahna Foundation - Delhi, Delhi ",Internships
Internship Blockchain Ethereus - Monster India,Internships
Blockchain Internship Jobs - July 2020 | Indeed.com,Internships
Business Development (Blockchain Startup): Internship,Internships
Internship for Blockchain in Bangalore | Makeintern,Internships
Blockchain internships | Glassdoor.co.in,Internships
Blockchain Technology Internship,Internships
Mobile App Development Internship | Internshala,Internships
Development Intern Jobs in India (2 new) - LinkedIn,Internships
Mobile App Development Internship in Delhi at HPC Sphere,Internships
Web Development work from home internship at GruwitZ,Internships
Web Development work from home  internship at SelectDine,Internships
Python Development work from home internship at SurePass Technologies Private Limited,Internships
"Full Stack Development Internship in Kochi, Cochin at Vidyalai",Internships
Front End Development work from home internship at RentBaaz,Internships
"Attend the  talk on ""What AI is — and isn’t""",Talks
"Attend the  talk on ""Can a robot pass a university entrance exam?""",Talks
"Attend the  talk on ""Get ready for hybrid thinking""",Talks
"Attend the  talk on ""How AI can enhance our memory, work, and social lives""",Talks
"Adopting AI: NVIDIA talks about the ""low-hanging fruit"" opportunities",Talks
"Attend the talk on "" How machine learning can teach us to build more effective teams """,Talks
"Attend the talk on ""  How AI can save our humanity  """,Talks
"Attend the talk on ""  Can we protect AI from our biases? """,Talks
"Attend the talk on ""   How to get empowered, not overpowered, by AI  """,Talks
"Attend the talk on "" 3 myths about the future of work (and why they’re not true) """,Talks
"Attend the talk on "" How Our Brains Will Keep Up With AI """,Talks
"Talk on ""How We Can Build AI To Help Humans, Not Hurt Us""",Talks
"Talks on ""3 Principles For Creating Safer AI""",Talks
"Talks on ""Don’t Fear Superintelligent AI""",Talks
"Talks on ""4 Ways to Build a Human Company in the Age of Machines""",Talks
"Talks on ""Python Concurrency From the Ground Up: LIVE!""",Talks
"Talks on ""Refactoring Python: Why and How to Restructure Your Code""",Talks
"Talks on ""Solve Your Problems With Sloppy Python""",Talks
"Talks on ""All Your Ducks in a Row: Data Structures in the Standard Library and Beyond""",Talks
"Talks on ""Beyond PEP 8: Best Practices for Beautiful Intelligible Code""",Talks
"Talks on ""Awesome Command Line Tools""",Talks
"Talks on ""Why Smart Statistics Are the Key to Fighting Crime""",Talks
"Talks on ""Your Social Media “likes” Expose More than You Think"" by Computer scientist Jennifer Golbeck",Talks
"Talks on ""Three ways to spot a bad statistic"" ",Talks
"TED Talks on "" Your company’s data could end world hunger"" ",Talks
"TED Talks on "" Who Controls the World"" ",Talks
"Talks on "" C Programming Language | Brian Kernighan and Lex Fridman"" ",Talks
"Talks on "" Advanced C  For Fun!  by Rusty Russell (2014)"" ",Talks
"Talks on "" C++ - The Newest Old Language by Matt Godbolt (2018))"" ",Talks
